"","Floods","Groundwater","Sediment","Organics_Solutes","Habitat","Overall","HUC12"
"1","0.7926254","0.66366084","0.59443760","0.585729047","0.6607626","0.65549975","101800000000"
"2","0.8144766","0.73601154","0.64289314","0.634139735","0.5651403","0.67305204","101800000000"
"3","0.8868951","0.59039466","0.50365769","0.670141729","0.6409273","0.64688206","101800000000"
"4","0.9728989","0.50822560","0.64407174","0.881818761","0.7481874","0.73196388","101800000000"
"5","0.9480850","0.56405266","0.60003969","0.803706359","0.6849927","0.70701081","101800000000"
"6","0.9689619","0.48379815","0.62852720","0.863047243","0.7356376","0.71515254","101800000000"
"7","0.8276698","0.74828263","0.65459264","0.552927431","0.7645040","0.70272977","101800000000"
"8","0.9829344","0.49841181","0.63753653","0.844723079","0.7463344","0.72252546","101800000000"
"9","0.8440415","0.70862765","0.69367590","0.686922734","0.6291173","0.70911324","101800000000"
"10","0.8190458","0.25938513","0.46096969","0.609497752","0.5849160","0.51120871","101800000000"
"11","0.9408828","0.81402263","0.80355756","0.800021712","0.8606904","0.84222387","101800000000"
"12","0.9139696","0.45763207","0.61174070","0.721935431","0.7364860","0.67102035","101800000000"
"13","0.9891114","0.91223339","0.88438751","0.975556045","0.7562583","0.89946287","101800000000"
"14","0.8179871","0.70776301","0.70438124","0.636439075","0.7788985","0.72633332","101800000000"
"15","0.9293386","0.62109763","0.68426096","0.822158539","0.7497004","0.75384105","101800000000"
"16","0.8303772","0.36341906","0.58876176","0.602092779","0.6955043","0.59472635","101800000000"
"17","0.8276194","0.57740232","0.66832161","0.629659241","0.7688682","0.68841518","101800000000"
"18","0.9929745","0.62205410","0.76418066","0.857479819","0.8351550","0.80499031","101800000000"
"19","0.8261038","0.74320939","0.70877822","0.627806640","0.6895769","0.71616478","101800000000"
"20","0.8593809","0.77693067","0.71248536","0.640286356","0.7074970","0.73567934","101800000000"
"21","0.8700695","0.78850211","0.71283293","0.744373081","0.6534662","0.75036344","101800000000"
"22","0.9699821","0.83902285","0.77985133","0.914274043","0.7599315","0.84894594","101800000000"
"23","0.9720871","0.73914760","0.72778659","0.807863707","0.7891929","0.80277222","101800000000"
"24","0.9344452","0.94124119","0.76587708","0.786536781","0.8335363","0.84920293","101800000000"
"25","0.9465909","0.65039230","0.78503886","0.795327195","0.8341094","0.79652524","101800000000"
"26","0.9882046","0.63207142","0.74782596","0.827963404","0.7934089","0.78955857","101800000000"
"27","0.7585789","0.67117537","0.51498219","0.443208369","0.6343675","0.59362963","101800000000"
"28","0.7649613","0.51895523","0.63089488","0.625235784","0.7514189","0.65182417","101800000000"
"29","0.7747364","0.72067835","0.61578802","0.565815628","0.7153054","0.67406011","101800000000"
"30","0.8029675","0.73131973","0.66709553","0.596326295","0.7541365","0.70661921","101800000000"
"31","0.9870342","0.67708071","0.89768293","0.967951702","0.8372152","0.86567980","101800000000"
"32","0.8716696","0.41627605","0.58926535","0.663619780","0.6865535","0.62766452","101800000000"
