OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,0.000000000000000,4699,0.368429118245000
,101800010101.000000000000000,81,0.785786946874000
,101800010102.000000000000000,83,0.792046085578000
,101800010103.000000000000000,40,0.646002314592000
,101800010104.000000000000000,64,0.727883873947000
,101800010105.000000000000000,68,0.662036304655000
,101800010106.000000000000000,55,0.675655266689000
,101800010107.000000000000000,35,0.643692433149000
,101800010108.000000000000000,49,0.619992766044000
,101800010201.000000000000000,40,0.781852993872000
,101800010202.000000000000000,74,0.669019900371000
,101800010203.000000000000000,104,0.759328354077000
,101800010204.000000000000000,90,0.557347459761000
,101800010301.000000000000000,43,0.793168108568000
,101800010302.000000000000000,39,0.816513993492000
,101800010303.000000000000000,40,0.575829358705000
,101800010304.000000000000000,56,0.585512353094000
,101800010305.000000000000000,72,0.749250627995000
,101800010306.000000000000000,138,0.554963999261000
,101800010401.000000000000000,53,0.748380927781000
,101800010402.000000000000000,66,0.798925959690000
,101800010403.000000000000000,50,0.741450042302000
,101800010404.000000000000000,55,0.659654554708000
,101800010405.000000000000000,98,0.660413842833000
,101800010406.000000000000000,56,0.682171132403000
,101800010407.000000000000000,63,0.746496252182000
,101800010408.000000000000000,62,0.600764920133000
,101800010409.000000000000000,39,0.677225865639000
,101800010501.000000000000000,45,0.839666275124000
,101800010502.000000000000000,47,0.817295532852000
,101800010503.000000000000000,50,0.831979170012000
,101800010504.000000000000000,44,0.754049507549000
,101800010505.000000000000000,87,0.628794798825000
,101800010506.000000000000000,139,0.454099523057000
,101800010507.000000000000000,79,0.519578973282000
,101800010601.000000000000000,81,0.796815235474000
,101800010602.000000000000000,73,0.707194773719000
,101800010603.000000000000000,99,0.689692389873000
,101800010604.000000000000000,80,0.724295574818000
,101800010605.000000000000000,79,0.696996179338000
,101800010701.000000000000000,81,0.637837103214000
,101800010702.000000000000000,65,0.784159448075000
,101800010703.000000000000000,168,0.754704670340000
,101800020101.000000000000000,31,0.834790850638000
,101800020102.000000000000000,42,0.811361113167000
,101800020107.000000000000000,79,0.535927761552000
,101800020201.000000000000000,57,0.596634412159000
,101800020202.000000000000000,74,0.754609615756000
,101800020401.000000000000000,34,0.858095074184000
,101800020402.000000000000000,38,0.823898644977000
,101800100101.000000000000000,127,0.853991684798000
,101800100102.000000000000000,46,0.835409797630000
,101800100103.000000000000000,91,0.803592619575000
,101800100104.000000000000000,49,0.766088557183000
,101800100105.000000000000000,83,0.729895987682000
,101800100106.000000000000000,59,0.773192586301000
,101800100107.000000000000000,94,0.782256130816000
,101800100202.000000000000000,86,0.731532253505000
,101800100301.000000000000000,31,0.754701139971000
,101800100304.000000000000000,46,0.307072736954000
,101900010101.000000000000000,21,0.851775521754000
,101900010102.000000000000000,32,0.847649008989000
,101900010103.000000000000000,17,0.799484597189000
,101900010104.000000000000000,42,0.821875933675000
,101900010105.000000000000000,32,0.801546916215000
,101900010106.000000000000000,31,0.796413805531000
,101900010107.000000000000000,34,0.786787875853000
,101900010108.000000000000000,49,0.774493780054000
,101900010201.000000000000000,23,0.807085917955000
,101900010202.000000000000000,58,0.836327727756000
