OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101800010101.000000000000000,21,0.716857776299000
,101800010102.000000000000000,25,0.754938049518000
,101800010103.000000000000000,11,0.488988896621000
,101800010104.000000000000000,17,0.550132322871000
,101800010105.000000000000000,29,0.625673941492000
,101800010106.000000000000000,24,0.577133048446000
,101800010107.000000000000000,8,0.691542094176000
,101800010108.000000000000000,22,0.494285119212000
,101800010201.000000000000000,12,0.706391390241000
,101800010202.000000000000000,44,0.597097063607000
,101800010203.000000000000000,25,0.715616051099000
,101800010204.000000000000000,47,0.512165551391000
,101800010301.000000000000000,6,0.653370814491000
,101800010302.000000000000000,6,0.718871461142000
,101800010303.000000000000000,20,0.503026562805000
,101800010304.000000000000000,11,0.566103316885000
,101800010305.000000000000000,31,0.664627861893000
,101800010306.000000000000000,100,0.538790391652000
,101800010401.000000000000000,20,0.720103338530000
,101800010402.000000000000000,20,0.759991068190000
,101800010403.000000000000000,12,0.536789593980000
,101800010404.000000000000000,22,0.494196944664000
,101800010405.000000000000000,30,0.583981129113000
,101800010406.000000000000000,14,0.764334138283000
,101800010407.000000000000000,27,0.688631218353000
,101800010408.000000000000000,32,0.550914432002000
,101800010409.000000000000000,14,0.660771499478000
,101800010501.000000000000000,18,0.820762079167000
,101800010502.000000000000000,14,0.798150466449000
,101800010503.000000000000000,16,0.822760659726000
,101800010504.000000000000000,8,0.634121299763000
,101800010505.000000000000000,50,0.535406662691000
,101800010506.000000000000000,83,0.328335814077000
,101800010507.000000000000000,45,0.377437089940000
,101800010601.000000000000000,10,0.728697896197000
,101800010602.000000000000000,20,0.495771317917000
,101800010603.000000000000000,28,0.552448973998000
,101800010604.000000000000000,28,0.576074548841000
,101800010605.000000000000000,29,0.618143337297000
,101800010701.000000000000000,51,0.583839522178000
,101800010702.000000000000000,18,0.707905639318000
,101800010703.000000000000000,104,0.755153595948000
,101800020101.000000000000000,8,0.837346106789000
,101800020102.000000000000000,13,0.802844132182000
,101800020107.000000000000000,24,0.818897267652000
,101800020201.000000000000000,6,0.767106354815000
,101800020202.000000000000000,13,0.818745994874000
,101800020401.000000000000000,6,0.858396694347000
,101800020402.000000000000000,11,0.833446672804000
,101800100101.000000000000000,29,0.833393113022000
,101800100102.000000000000000,10,0.816345471614000
,101800100103.000000000000000,27,0.760762426371000
,101800100104.000000000000000,8,0.761347695047000
,101800100105.000000000000000,39,0.661104666507000
,101800100106.000000000000000,18,0.688822380646000
,101800100107.000000000000000,35,0.714441926550000
,101800100202.000000000000000,12,0.843082262056000
,101800100301.000000000000000,7,0.847353890369000
