FID,HUC12,FP_Areakm2,StrmOrder,Floods,Groundwater,Sediment,Organics_Solutes,Habitat,IFI_geomean,IFI_prod,In_City,ECO_name
0,1.018E+11,1.4596601,4,0.792625396,0.663660837,0.594437596,0.585729047,0.66076261,0.655499754,0.121021537,0,SRO
1,1.018E+11,5.1454601,5,0.81447657,0.736011541,0.642893144,0.634139735,0.565140258,0.673052041,0.138115757,0,SRO
2,1.018E+11,0.751624,3,0.886895096,0.59039466,0.503657687,0.670141729,0.640927253,0.646882062,0.113272775,0,SRO
3,1.018E+11,2.03334,4,0.972898943,0.5082256,0.644071744,0.881818761,0.748187417,0.731963879,0.210110739,0,SRO
4,1.018E+11,2.0668001,4,0.948084981,0.564052661,0.600039694,0.803706359,0.684992718,0.707010806,0.176656759,0,SRO
5,1.018E+11,4.0925999,5,0.968961883,0.483798147,0.628527199,0.863047243,0.73563756,0.715152542,0.187065386,0,SRO
6,1.018E+11,1.6758699,2,0.827669804,0.748282627,0.654592636,0.552927431,0.764503967,0.702729772,0.171372751,0,SRO
7,1.018E+11,7.4595599,5,0.982934422,0.498411807,0.637536527,0.844723079,0.746334449,0.722525463,0.196909099,0,SRO
8,1.018E+11,1.65845,3,0.844041469,0.708627649,0.693675895,0.686922734,0.629117263,0.709113241,0.179299044,0,SRO
9,1.018E+11,3.64274,3,0.819045771,0.259385131,0.46096969,0.609497752,0.584916005,0.511208712,0.034913327,0,SRO
10,1.018E+11,7.0703802,4,0.940882833,0.814022634,0.803557564,0.800021712,0.860690369,0.842223872,0.423777345,0,SRO
11,1.018E+11,2.6201601,4,0.913969621,0.457632071,0.611740701,0.721935431,0.73648601,0.671020347,0.136043704,0,SRO
12,1.018E+11,1.07683,3,0.989111443,0.912233386,0.88438751,0.975556045,0.75625834,0.899462866,0.588730033,0,SRO
13,1.018E+11,1.0000401,3,0.817987132,0.707763014,0.704381242,0.636439075,0.778898506,0.726333316,0.202152829,0,SRO
14,1.018E+11,5.2443099,4,0.929338612,0.621097627,0.684260957,0.822158539,0.749700358,0.753841045,0.243443903,0,SRO
