FID,HUC12,FP_Areakm2,StrmOrder
0,101800010101,1.4596601,4
1,101800010102,5.1454601,5
2,101800010103,0.7516240,3
3,101800010104,2.0333400,4
4,101800010105,2.0668001,4
5,101800010106,4.0925999,5
6,101800010107,1.6758699,2
7,101800010108,7.4595599,5
8,101800010201,1.6584500,3
9,101800010202,3.6427400,3
10,101800010203,7.0703802,4
11,101800010204,2.6201601,4
12,101800010301,1.0768300,3
13,101800010302,1.0000401,3
14,101800010303,5.2443099,4
15,101800010304,1.2039599,4
16,101800010305,3.3045399,4
17,101800010306,9.1703501,5
18,101800010401,1.6523600,3
19,101800010402,1.5422900,3
20,101800010403,1.2491000,3
21,101800010404,2.5053201,3
22,101800010405,5.1909699,4
23,101800010406,1.7081900,4
24,101800010407,5.2173400,3
25,101800010408,8.9176903,4
26,101800010409,4.5112901,4
27,101800010501,1.3792800,2
28,101800010502,0.7798760,4
29,101800010503,2.1557801,4
30,101800010504,0.5617310,2
31,101800010505,9.3667002,4
32,101800010506,9.3559599,5
33,101800010507,9.8985500,5
34,101800010601,1.4949100,3
35,101800010602,2.2950399,4
36,101800010603,2.0596299,4
37,101800010604,2.5012801,4
38,101800010605,6.4196100,4
39,101800010701,5.1934199,5
40,101800010702,1.3200500,3
41,101800010703,8.5807199,6
42,101800020101,0.3427240,2
43,101800020102,0.3850380,3
44,101800020107,1.9450901,6
45,101800020201,0.6393050,2
46,101800020202,3.0973699,3
47,101800020401,0.7669260,3
48,101800020402,0.4516590,3
49,101800100101,1.8500100,4
50,101800100102,0.4483410,4
51,101800100103,1.3927701,4
52,101800100104,0.7132420,4
53,101800100105,3.9495800,4
54,101800100106,1.1939300,3
55,101800100107,2.6631000,4
56,101800100202,0.8816750,3
57,101800100301,0.5145610,2
58,101800100304,0.1445680,4
59,101900010101,0.0060948,4
60,101900010102,0.7552930,4
61,101900010103,1.0708600,2
62,101900010104,3.2010601,4
63,101900010105,3.8241100,1
64,101900010106,6.6888900,4
65,101900010107,5.5389600,3
66,101900010108,11.7398005,4
67,101900010201,1.0429100,3
68,101900010202,1.2491500,3
69,101900010203,0.8911630,3
70,101900010204,2.9031200,3
71,101900010205,26.1791000,4
72,101900010206,1.1242501,3
73,101900010207,3.7103400,3
74,101900010208,6.3800902,2
75,101900010209,10.2974005,2
76,101900010210,9.5878096,5
77,101900010301,3.3571601,5
78,101900010302,1.9421500,2
79,101900010303,1.4787600,3
80,101900010304,1.5226800,2
81,101900010305,4.8927398,2
82,101900010306,15.4587002,5
83,101900010307,16.8533993,5
84,101900010401,1.6341200,3
85,101900010402,6.1378498,3
86,101900010403,2.0451801,3
87,101900010404,8.7458000,3
88,101900010405,1.3644700,3
89,101900010501,1.0105500,3
90,101900010502,0.8794820,3
91,101900010503,3.8692200,4
92,101900010504,1.4926100,4
93,101900010505,0.4011500,2
94,101900010506,1.8116100,4
