OID_,HUC12,ZONE_CODE,COUNT,AREA,MEAN
,101800010101,1,1640,1476000.000000000000000,0.028658536585400
,101800010102,2,5667,5100300.000000000000000,0.218810658197000
,101800010103,3,825,742500.000000000000000,0.014545454545500
,101800010104,4,2267,2040300.000000000000000,0.007498897221000
,101800010105,5,2283,2054700.000000000000000,0.024967148488800
,101800010106,6,4529,4076100.000000000000000,0.004636785162290
,101800010107,7,1854,1668600.000000000000000,0.002696871628910
,101800010108,8,8315,7483500.000000000000000,0.003126879134100
,101800010201,9,1853,1667700.000000000000000,0.116567728009000
,101800010202,10,4067,3660300.000000000000000,0.028768133759500
,101800010203,11,7890,7101000.000000000000000,0.004309252218000
,101800010204,12,2901,2610900.000000000000000,0.002412961047910
,101800010301,13,1211,1089900.000000000000000,0.175887696119000
,101800010302,14,1129,1016100.000000000000000,0.012400354295800
,101800010303,15,5915,5323500.000000000000000,0.018765849535100
,101800010304,16,1341,1206900.000000000000000,0.015659955257300
,101800010305,17,3676,3308400.000000000000000,0.005168661588680
,101800010306,18,10153,9137700.000000000000000,0.003939722249580
,101800010401,19,1866,1679400.000000000000000,0.060021436227200
,101800010402,20,1710,1539000.000000000000000,0.052046783625700
,101800010403,21,1399,1259100.000000000000000,0.080057183702600
,101800010404,22,2783,2504700.000000000000000,0.044915558749600
,101800010405,23,5746,5171400.000000000000000,0.015140967629700
,101800010406,24,1866,1679400.000000000000000,0.005359056806000
,101800010407,25,5775,5197500.000000000000000,0.008658008658010
,101800010408,26,9919,8927100.000000000000000,0.019860873071900
,101800010409,27,4998,4498200.000000000000000,0.017006802721100
,101800010501,28,1543,1388700.000000000000000,0.001296176279970
,101800010502,29,882,793800.000000000000000,0.014739229024900
,101800010503,30,2374,2136600.000000000000000,0.005054759898900
,101800010504,31,635,571500.000000000000000,0.048818897637800
,101800010505,32,10415,9373500.000000000000000,0.019875180028800
,101800010506,33,10396,9356400.000000000000000,0.000961908426318
,101800010507,34,10991,9891900.000000000000000,0.001546720043670
,101800010601,35,1646,1481400.000000000000000,0.040704738760600
,101800010602,36,2561,2304900.000000000000000,0.010152284264000
,101800010603,37,2270,2043000.000000000000000,0.007048458149780
,101800010604,38,2757,2481300.000000000000000,0.003627130939430
,101800010605,39,7106,6395400.000000000000000,0.008865747255840
,101800010701,40,5750,5175000.000000000000000,0.005043478260870
,101800010702,41,1456,1310400.000000000000000,0.017857142857100
,101800010703,42,9540,8586000.000000000000000,0.004088050314470
,101800020101,43,368,331200.000000000000000,0.000000000000000
,101800020102,44,417,375300.000000000000000,0.002398081534770
,101800020107,45,2206,1985400.000000000000000,0.014505893019000
,101800020201,46,725,652500.000000000000000,0.026206896551700
,101800020202,47,3442,3097800.000000000000000,0.003195816385820
,101800020401,48,854,768600.000000000000000,0.003512880562060
,101800020402,49,499,449100.000000000000000,0.014028056112200
,101800100101,50,2075,1867500.000000000000000,0.035180722891600
,101800100102,51,495,445500.000000000000000,0.014141414141400
,101800100103,52,1527,1374300.000000000000000,0.025540275049100
,101800100104,53,795,715500.000000000000000,0.001257861635220
,101800100105,54,4400,3960000.000000000000000,0.012954545454500
,101800100106,55,1338,1204200.000000000000000,0.010463378176400
,101800100107,56,2935,2641500.000000000000000,0.002044293015330
,101800100202,57,971,873900.000000000000000,0.015447991761100
,101800100301,58,572,514800.000000000000000,0.001748251748250
,101800100304,59,170,153000.000000000000000,0.000000000000000
,101900010101,60,7,6300.000000000000000,0.000000000000000
,101900010102,61,829,746100.000000000000000,0.008443908323280
,101900010103,62,1188,1069200.000000000000000,0.020202020202000
,101900010104,63,3549,3194100.000000000000000,0.045364891518700
,101900010105,64,4247,3822300.000000000000000,0.089710383800300
,101900010106,65,7449,6704100.000000000000000,0.012082158679000
,101900010107,66,6170,5553000.000000000000000,0.070826580226900
,101900010108,67,13039,11735100.000000000000000,0.033974998082700
,101900010201,68,1160,1044000.000000000000000,0.064655172413800
,101900010202,69,1395,1255500.000000000000000,0.020788530465900
,101900010203,70,1016,914400.000000000000000,0.134842519685000
,101900010204,71,3190,2871000.000000000000000,0.063322884012500
,101900010205,72,29054,26148600.000000000000000,0.071659668204000
,101900010206,73,1235,1111500.000000000000000,0.121457489879000
,101900010207,74,4134,3720600.000000000000000,0.107160135462000
,101900010208,75,7088,6379200.000000000000000,0.050225733634300
,101900010209,76,11463,10316700.000000000000000,0.076943208584100
,101900010210,77,10672,9604800.000000000000000,0.115910794603000
,101900010301,78,3780,3402000.000000000000000,0.055291005291000
,101900010302,79,2223,2000700.000000000000000,0.059379217274000
,101900010303,80,1617,1455300.000000000000000,0.048237476808900
,101900010304,81,1705,1534500.000000000000000,0.116715542522000
,101900010305,82,5455,4909500.000000000000000,0.028780934922100
,101900010306,83,17205,15484500.000000000000000,0.039523394362100
,101900010307,84,18749,16874100.000000000000000,0.025068003626900
,101900010401,85,1796,1616400.000000000000000,0.080734966592400
,101900010402,86,6792,6112800.000000000000000,0.030624263839800
,101900010403,87,2275,2047500.000000000000000,0.041758241758200
,101900010404,88,9769,8792100.000000000000000,0.014023953321700
,101900010405,89,1495,1345500.000000000000000,0.050836120401300
,101900010501,90,1110,999000.000000000000000,0.047747747747700
,101900010502,91,1003,902700.000000000000000,0.255234297109000
,101900010503,92,4301,3870900.000000000000000,0.035108114392000
,101900010504,93,1642,1477800.000000000000000,0.043848964677200
,101900010505,94,443,398700.000000000000000,0.027088036117400
,101900010506,95,2026,1823400.000000000000000,0.030602171767000
,101900010507,96,1514,1362600.000000000000000,0.070673712021100
,101900010601,97,191,171900.000000000000000,0.073298429319400
,101900010602,98,648,583200.000000000000000,0.120370370370000
,101900010603,99,1662,1495800.000000000000000,0.021660649819500
,101900010604,100,730,657000.000000000000000,0.106849315068000
,101900010605,101,2183,1964700.000000000000000,0.033440219880900
,101900010606,102,1622,1459800.000000000000000,0.072133168927300
,101900020101,103,691,621900.000000000000000,0.060781476121600
,101900020102,104,717,645300.000000000000000,0.189679218968000
,101900020103,105,1330,1197000.000000000000000,0.236842105263000
,101900020104,106,2657,2391300.000000000000000,0.036130974783600
,101900020105,107,1819,1637100.000000000000000,0.048927982407900
,101900020201,108,717,645300.000000000000000,0.001394700139470
,101900020202,109,1313,1181700.000000000000000,0.006854531607010
,101900020203,110,704,633600.000000000000000,0.001420454545450
,101900020204,111,2679,2411100.000000000000000,0.006718924972000
,101900020301,112,1629,1466100.000000000000000,0.012277470841000
,101900020302,113,1599,1439100.000000000000000,0.010006253908700
,101900020303,114,1740,1566000.000000000000000,0.003448275862070
,101900020304,115,1900,1710000.000000000000000,0.004210526315790
,101900020305,116,1617,1455300.000000000000000,0.000618429189858
,101900020401,117,183,164700.000000000000000,0.016393442623000
,101900020402,118,567,510300.000000000000000,0.022927689594400
,101900020403,119,1229,1106100.000000000000000,0.049633848657400
,101900020404,120,5585,5026500.000000000000000,0.025246195165600
,101900020405,121,739,665100.000000000000000,0.048714479025700
,101900020406,122,925,832500.000000000000000,0.052972972973000
,101900020407,123,1856,1670400.000000000000000,0.059267241379300
,101900020408,124,1743,1568700.000000000000000,0.006884681583480
,101900020501,125,390,351000.000000000000000,0.000000000000000
,101900020502,126,977,879300.000000000000000,0.001023541453430
,101900020503,127,3343,3008700.000000000000000,0.002093927609930
,101900020504,128,2188,1969200.000000000000000,0.001828153564900
,101900020601,129,727,654300.000000000000000,0.001375515818430
,101900020602,130,1119,1007100.000000000000000,0.013404825737300
,101900020603,131,280,252000.000000000000000,0.000000000000000
,101900020604,132,878,790200.000000000000000,0.004555808656040
,101900020605,133,581,522900.000000000000000,0.001721170395870
,101900020606,134,3821,3438900.000000000000000,0.002355404344410
,101900020607,135,748,673200.000000000000000,0.000000000000000
,101900020608,136,5755,5179500.000000000000000,0.032493483927000
,101900020701,137,1190,1071000.000000000000000,0.007563025210080
,101900020702,138,1562,1405800.000000000000000,0.072343149807900
,101900020703,139,13289,11960100.000000000000000,0.082850477838800
,101900020801,140,528,475200.000000000000000,0.032196969697000
,101900020802,141,1295,1165500.000000000000000,0.009266409266410
,101900020803,142,418,376200.000000000000000,0.002392344497610
,101900020804,143,1182,1063800.000000000000000,0.009306260575300
,101900020805,144,676,608400.000000000000000,0.005917159763310
,101900020806,145,932,838800.000000000000000,0.003218884120170
,101900020807,146,726,653400.000000000000000,0.011019283746600
,101900020808,147,4517,4065300.000000000000000,0.081027230462700
,101900020809,148,5019,4517100.000000000000000,0.005977286312010
,101900020901,149,6666,5999400.000000000000000,0.025652565256500
,101900020902,150,1295,1165500.000000000000000,0.000000000000000
,101900020903,151,2108,1897200.000000000000000,0.000000000000000
,101900020904,152,14599,13139100.000000000000000,0.000136995684636
,101900030101,153,1144,1029600.000000000000000,0.006118881118880
,101900030102,154,3733,3359700.000000000000000,0.001339405304050
,101900030103,155,4011,3609900.000000000000000,0.000747943156320
,101900030104,156,1384,1245600.000000000000000,0.000000000000000
,101900030105,157,961,864900.000000000000000,0.015608740894900
,101900030106,158,6550,5895000.000000000000000,0.001068702290080
,101900030107,159,2641,2376900.000000000000000,0.000757288905718
,101900030108,160,3552,3196800.000000000000000,0.001689189189190
,101900030201,161,3900,3510000.000000000000000,0.002820512820510
,101900030202,162,8347,7512300.000000000000000,0.014616029711300
,101900030203,163,2420,2178000.000000000000000,0.012809917355400
,101900030204,164,11164,10047600.000000000000000,0.022035112862800
,101900030301,165,3735,3361500.000000000000000,0.008835341365460
,101900030302,166,1082,973800.000000000000000,0.049907578558200
,101900030303,167,10205,9184500.000000000000000,0.012836844684000
,101900030304,168,12133,10919700.000000000000000,0.004368251875050
,101900030401,169,10107,9096300.000000000000000,0.054615612941500
,101900030402,170,20697,18627300.000000000000000,0.049427453254100
,101900030403,171,7419,6677100.000000000000000,0.076964550478500
,101900030404,172,11553,10397700.000000000000000,0.015840041547600
,101900030405,173,15892,14302800.000000000000000,0.007739743267050
,101900030406,174,6797,6117300.000000000000000,0.026923642783600
,101900030407,175,3623,3260700.000000000000000,0.025117306099900
,101900030408,176,9060,8154000.000000000000000,0.010485651214100
,101900030409,177,27530,24777000.000000000000000,0.005412277515440
,101900030501,178,8538,7684200.000000000000000,0.000234246896229
,101900030502,179,4990,4491000.000000000000000,0.008016032064130
,101900030503,180,7062,6355800.000000000000000,0.021523647691900
,101900030504,181,22422,20179800.000000000000000,0.030951743823000
,101900030505,182,13144,11829600.000000000000000,0.003651856360320
,101900030601,183,2570,2313000.000000000000000,0.005836575875490
,101900030602,184,20546,18491400.000000000000000,0.004915798695610
,101900030603,185,28741,25866900.000000000000000,0.009359451654430
,101900030604,186,15957,14361300.000000000000000,0.014037726389700
,101900030605,187,5736,5162400.000000000000000,0.000697350069735
,101900030606,188,25928,23335200.000000000000000,0.003663992594880
,101900030607,189,34663,31196700.000000000000000,0.000750079335314
,101900030701,190,1212,1090800.000000000000000,0.000000000000000
,101900030702,191,2812,2530800.000000000000000,0.000711237553343
,101900030703,192,1880,1692000.000000000000000,0.004255319148940
,101900030704,193,3314,2982600.000000000000000,0.001207000603500
,101900030705,194,9552,8596800.000000000000000,0.004396984924620
,101900030706,195,13521,12168900.000000000000000,0.006360476296130
,101900030707,196,14147,12732300.000000000000000,0.067081360005700
,101900030801,197,762,685800.000000000000000,0.043307086614200
,101900030802,198,4583,4124700.000000000000000,0.011128082042300
,101900030803,199,12628,11365200.000000000000000,0.022331327209400
,101900030804,200,14625,13162500.000000000000000,0.025299145299100
,101900030805,201,14864,13377600.000000000000000,0.086719590958000
,101900030806,202,29535,26581500.000000000000000,0.000846453360420
,101900030901,203,3883,3494700.000000000000000,0.018284831316000
,101900030902,204,7046,6341400.000000000000000,0.061737155833100
,101900030903,205,10296,9266400.000000000000000,0.037878787878800
,101900030904,206,2887,2598300.000000000000000,0.121233113959000
,101900030905,207,9297,8367300.000000000000000,0.025599655802900
,101900030906,208,4018,3616200.000000000000000,0.009208561473370
,101900030907,209,25779,23201100.000000000000000,0.045463361651000
,101900030908,210,17332,15598800.000000000000000,0.042753288714500
,101900030909,211,10199,9179100.000000000000000,0.058437101676600
,101900030910,212,8804,7923600.000000000000000,0.018059972739700
,101900031001,213,5327,4794300.000000000000000,0.032851511169500
,101900031002,214,17029,15326100.000000000000000,0.011509777438500
,101900031003,215,3318,2986200.000000000000000,0.158529234479000
,101900031004,216,865,778500.000000000000000,0.054335260115600
,101900031005,217,5258,4732200.000000000000000,0.084062381133500
,101900031006,218,16513,14861700.000000000000000,0.002301217222790
,101900031007,219,15068,13561200.000000000000000,0.021037961242400
,101900031101,220,10701,9630900.000000000000000,0.001495187365670
,101900031102,221,24972,22474800.000000000000000,0.020062469966400
,101900031103,222,33367,30030300.000000000000000,0.014685167980300
,101900031104,223,3542,3187800.000000000000000,0.269621682665000
,101900031105,224,4829,4346100.000000000000000,0.081176226962100
,101900031201,225,10885,9796500.000000000000000,0.000367478180983
,101900031202,226,5678,5110200.000000000000000,0.015498414934800
,101900031203,227,23905,21514500.000000000000000,0.015812591508100
,101900031205,228,9020,8118000.000000000000000,0.046008869179600
,101900031206,229,4971,4473900.000000000000000,0.032387849527300
,101900040101,230,697,627300.000000000000000,0.008608321377330
,101900040102,231,1383,1244700.000000000000000,0.002169197396960
,101900040103,232,1059,953100.000000000000000,0.012275731822500
,101900040104,233,610,549000.000000000000000,0.000000000000000
,101900040201,234,28,25200.000000000000000,0.000000000000000
,101900040202,235,1464,1317600.000000000000000,0.002049180327870
,101900040203,236,269,242100.000000000000000,0.022304832713800
,101900040204,237,872,784800.000000000000000,0.000000000000000
,101900040205,238,3,2700.000000000000000,0.000000000000000
,101900040206,239,1007,906300.000000000000000,0.000993048659384
,101900040207,240,1709,1538100.000000000000000,0.000000000000000
,101900040301,241,609,548100.000000000000000,0.008210180623970
,101900040302,242,1272,1144800.000000000000000,0.021226415094300
,101900040303,243,2819,2537100.000000000000000,0.063852429939700
,101900040304,244,6019,5417100.000000000000000,0.007642465525830
,101900040401,245,1292,1162800.000000000000000,0.001547987616100
,101900040402,246,1371,1233900.000000000000000,0.002188183807440
,101900040403,247,10000,9000000.000000000000000,0.001400000000000
,101900040404,248,4840,4356000.000000000000000,0.000826446280992
,101900050101,249,2240,2016000.000000000000000,0.001339285714290
,101900050102,250,1728,1555200.000000000000000,0.005208333333330
,101900050103,251,1754,1578600.000000000000000,0.018244013683000
,101900050201,252,2,1800.000000000000000,0.000000000000000
,101900050202,253,1062,955800.000000000000000,0.000000000000000
,101900050203,254,165,148500.000000000000000,0.030303030303000
,101900050204,255,3451,3105900.000000000000000,0.006954505940310
